Series_Title,Released_Year,Runtime,IMDB_Rating,Overview,Meta_score,No_of_Votes,Gross,overview_tokens,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_Film-Noir,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,Cert_16,Cert_A,Cert_Approved,Cert_G,Cert_GP,Cert_PG,Cert_PG-13,Cert_Passed,Cert_R,Cert_TV-14,Cert_TV-MA,Cert_TV-PG,Cert_U,Cert_U/A,Cert_UA,Cert_Unrated,Director_Group,Star1_Group,Star2_Group,Star3_Group,Star4_Group
The Godfather,1972.0,175,9.2,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,100.0,1620367,"134,966,411","['organize', 'crime', 'dynasty', 'age', 'patriarch', 'transfer', 'control', 'clandestine', 'empire', 'reluctant', 'son']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,4,4,4,4
The Dark Knight,2008.0,152,9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",84.0,2303232,"534,858,444","['menace', 'know', 'joker', 'wreak', 'havoc', 'chaos', 'people', 'gotham', 'batman', 'accept', 'great', 'psychological', 'physical', 'test', 'ability', 'fight', 'injustice']",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,4,4,4,4
The Godfather: Part II,1974.0,202,9.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",90.0,1129952,"57,300,000","['early', 'life', 'career', 'vito', 'corleone', 'new', 'york', 'city', 'portray', 'son', 'michael', 'expand', 'tighten', 'grip', 'family', 'crime', 'syndicate']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,3,4,4,4
12 Angry Men,1957.0,96,9.0,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,96.0,689845,"4,360,000","['jury', 'holdout', 'attempt', 'prevent', 'miscarriage', 'justice', 'force', 'colleague', 'reconsider', 'evidence']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3,4,4,4,4
The Lord of the Rings: The Return of the King,2003.0,201,8.9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,94.0,1642758,"377,845,905","['gandalf', 'aragorn', 'lead', 'world', 'men', 'sauron', 'army', 'draw', 'gaze', 'frodo', 'sam', 'approach', 'mount', 'doom', 'ring']",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,4,4,4,4
Pulp Fiction,1994.0,154,8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",94.0,1826188,"107,928,762","['life', 'mob', 'hitman', 'boxer', 'gangster', 'wife', 'pair', 'diner', 'bandit', 'intertwine', 'tale', 'violence', 'redemption']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,4,4,2,4
Schindler's List,1993.0,195,8.9,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",94.0,1213505,"96,898,818","['german', 'occupy', 'poland', 'world', 'war', 'ii', 'industrialist', 'oskar', 'schindler', 'gradually', 'concerned', 'jewish', 'workforce', 'witness', 'persecution', 'nazis']",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,4,4,4,4
Inception,2010.0,148,8.8,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,74.0,2067042,"292,576,195","['thief', 'steal', 'corporate', 'secret', 'use', 'dream', 'share', 'technology', 'give', 'inverse', 'task', 'plant', 'idea', 'mind']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,4,3,4,4
Fight Club,1999.0,139,8.8,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",66.0,1854740,"37,030,102","['insomniac', 'office', 'worker', 'devil', 'care', 'soapmaker', 'form', 'underground', 'fight', 'club', 'evolve']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,4,4,4,4
The Lord of the Rings: The Fellowship of the Ring,2001.0,178,8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,92.0,1661481,"315,544,750","['meek', 'hobbit', 'shire', 'companion', 'set', 'journey', 'destroy', 'powerful', 'ring', 'save', 'middle', 'earth', 'dark', 'lord', 'sauron']",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,4,4,4,4
